X,x,classifi
516,"RT @politicalmiller: Gov Brown: Hillary ""aims to break down the barriers that hold working families back"" Amen! #ImWithHer #ShesWithUs http…",negative
517,RT @LostDiva: or that we're killing 100K innocent people. Hillary loves the children! NOPE! ,negative
518,RT @CommonWhiteGirI: Who would you rather have as the President? RT for this Rock or like for Hillary https://t.co/d7xdlAFKkP,positive
519,"RT @wtfjxrge: Bernie supporters, will you vote for Hillary in the general election (RT after voting)",positive
520,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
521,"RT @Barmesvt: Hillary says Isreal's security is non-negotiable yet she supports the Iran deal.  Two faced, Two faced. Two faced.",negative
522,"@CNN @realDonaldTrump @HillaryClinton Hillary is attacking Trump for a reason,she doesn't even speak Cruz's name.The Dems are running scared",positive
523,"""@jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.""",negative
524,RT @CommonWhiteGirI: Who would you rather have as the President? RT for this Rock or like for Hillary https://t.co/d7xdlAFKkP,positive
525,"RT @TweetLikeAGirI: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/BG4pCnT8wR",positive
526,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
527,"Wolf Blitzer to Donald Trump ""Hillary says u don't av steady hands"" Trump to Wolf ""I av steady hands. Look at these hands"" lol #FinalFive",negative
528,@rtraister @LOLGOP @michelleinbklyn Hillary is just another shameless politician who says what the audience wants to hear.,negative
529,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",negative
531,RT @HillaryIn2016: Oregon Gov. Kate Brown endorses Hillary Clinton for president https://t.co/vJARLBruBk ,positive
532,RT @BrianWhiteMA: drumpf just said Hillary doesn't know him. Oh really? Just like you don't know David Duke? ,positive
533,"RT @JohnKasich: BREAKING: 2 new polls out tonight!
Only John Kasich defeats Hillary Clinton in November.
https://t.co/I0uZ3dnqmU
https://…",negative
534,"RT @GuerrillaDems: Bernie Sanders's Global Victory Over Hillary Clinton https://t.co/JU3uO9hGVI

#StillSanders #ForThePeople #ImWithHer htt…",negative
535,RT @SheilaPawley: Sounds like Mrs Cruz could be another Hillary! Very Scary!!!! https://t.co/eH6dgqLGnb,negative
536,RT @ellaspillane: Clinton isn't even my preferred candidate but this article is important  https://t.co/DFCIamE95x,negative
537,"RT @NumbersMuncher: Hillary is an unpopular, damaged candidate and the GOP has found a way to completely neutralize every one of her weakne…",negative
538,RT BernieSanders: Wonder how many $27 contributions HillaryClinton got at her fundraiser hosted by the NRA lobbyis… https://t.co/1fQbCGgNOP,positive
539,"4/ eg: HRC crucified for dumb Reagan/AIDS remarks. You know who *did* help the ""nat'l conversation""? The Clintons! https://t.co/QInAUOLr28",positive
540,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
542,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
543,RT @DesertRiver: Fact. Hillary lied. Hilly tried to delete all these. FBI recovered them to her dismay. FBI investigating. DOJ is too https…,negative
544,"@MaliqMatthew @dhiggins63 @mrscorie They are riled up because the don't want Hillary, simple thruth.",positive
545,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",negative
546,"When you hear Hillary say ""Israel's security is non-negotiable"" but you know she supports the Iran deal... https://t.co/VbXI6CUBXN",negative
547,RT @adirado29: Lena Dunham says her support for Hillary Clinton has unleashed 'hostility' from Sanders supporters https://t.co/b8XmYFQ9Yd,negative
548,RT @BoycottAhava: Critics outraged by disgusting speech Hillary Clinton gave at ,negative
549,"RT @GirlNotes: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/F5Yfoccv5u",positive
552,RT @StuntHangar: @TeresaC85469500 DT will be the next POTUS polls show he will beat Hillary 90% to 10% https://t.co/SW0nbbinLe,negative
553,RT BernieSanders: Wonder how many $27 contributions HillaryClinton got at her fundraiser hosted by the NRA lobbyis… https://t.co/8egMgX7aZn,positive
554,RT @RaniaKhalek: Hillary Clinton claims ISIS is partnering with Hamas in Gaza. That's a slanderous lie. ,negative
555,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
556,"RT @PolitiBunny: #NeverTrump means just that, never Trump. It doesn't mean we want Hillary, it means we absolutely do not want and will not…",negative
558,"""Hillary Clinton and Donald Trump Vow to Protect Israel but Differ on Means"" by MARK LANDLER and MAGGIE HABERMAN v… https://t.co/qjZCzdsmSH",positive
561,"#ForThePeople BERNIE, tell CNN that Hillary is pampering to Jews.Tell them she can't possibly care for your people more than you do. Fake",negative
562,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",negative
563,"RT @AndreaTantaros: Why isn't media demanding Hillary Clinton denounce violence of Black Lives Matter &amp; Soros organized, paid protestors? S…",positive
564,RT @Millennials4Her: Not on the Hillary phone call? You're missing out on great information. I'm sure @ajeanster would be happy to fill you…,positive
566,@ggreenwald In fairness Trump's speech was far closer to reality than Hillary Clinton's.,negative
568,"RT @HillaryClinton: This primary is being decided state by state. Help Hillary win in three easy (seriously, easy) steps: https://t.co/8myX…",positive
569,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
